OBJECTID *,Shape *,Borough,Block,Lot,CD,BCT2020,BCTCB2020,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,DCPEdited,Latitude,Longitude,Notes,Shape_Leng,Shape_Length,Shape_Area
740,Polygon,QN,2611,452,405,4053502,40535021002,535,1008,24,30,11385,E291,104,46,1600,4,5,3E,48-25A METROPOLITAN AVENUE,M3-1, , , , , , , , , ,N,E1,6,0,X,"GOLDSTONE 48-25, LLC",23431,39000,39000,0,0,0,0,39000,0,0,2,1,3,0,1,250.5,86.25,230,61,N,0,Y,5,0,421650,902250,902250,1930,2002,0, , ,1.66,0,2,0,4,4026110452,0,535,1007392,199546,13b, ,403 030,41402, ,0, ,1, , ,24v1, ,40.714354,-73.916522, ,0,694.440744,23695.73028
741,Polygon,QN,2611,454,405,4053502,40535021002,535,1008,24,30,11385,E291,104,46,1600,4,5,3E,49-29 METROPOLITAN AVENUE,M3-1, , , , , , , , , ,N,F5,6,0, ,"CHLOE REALTY USA, LLC",46153,51209,51209,0,0,0,0,0,51209,0,2,1,1,0,1,233,329,216,187,N,0,Y,5,0,1038600,3207150,0,1930,2017,0, , ,1.11,0,2,0,4,4026110454,0,535,1007264,199416,13b, ,403 030,41402, ,0, ,1, , ,24v1, ,40.713998,-73.916984, ,0,933.966294,47650.64125
742,Polygon,QN,2611,458,405,4053502,40535021002,535,1008,24,30,11385,E291,104,46,1600,4,5,3E,48-01 METROPOLITAN AVENUE,M3-1, , , , , , , , , ,N,E1,6,0, ,"CENTURY METRO GROUP, LLC",30000,31546,31546,0,1546,0,0,30000,0,0,2,1,1,0,1,227,229,227,229,N,0,Y,5,0,182250,1073250,0,1931,1994,0, , ,1.05,0,2,0,4,4026110458,0,535,1006804,199418,13b, ,403 030,41402, ,0, ,1, , ,24v1, ,40.714004,-73.918643, ,0,839.982163,32419.11222
743,Polygon,QN,2611,508,405,4053502,40535021000,535,1004,24,30,11385,E291,104,46,1600,4,5,3E,46-45 METROPOLITAN AVENUE,M3-1, , , , , , , , , ,N,F2,6,0, ,46-45 METROPOLITAN A,22300,26000,26000,0,0,0,0,0,26000,0,2,1,1,0,1,135,242,135,193,N,0,Y,5,0,401400,677250,0,1948,1986,0, , ,1.17,0,2,0,4,4026110508,0,535,1005854,199507,13b, ,403 027,41402, ,0, ,1,1,1,24v1, ,40.714251,-73.92207, ,0,670.393077,22362.31651
744,Polygon,QN,2611,7501,405,4053502,40535021002,535,1008,24,30,11385,E291,104,46,1600,4,5,3E,48-05 METROPOLITAN AVENUE,M3-1, , , , , , , , , ,N,RW,6,0, ,UNAVAILABLE OWNER,14400,126235,126235,0,0,0,0,126235,0,0,2,2,2,0,3,0,0,243,375, ,0,N,0,5,1260000,15500700,14515650,1930,2019,0, , ,8.77,0,2,0,4,4026117501,408,535,1007065,199552,13b, ,403 030,41402, ,4026110456,2/21/2002,1, , ,24v1, ,40.714371,-73.917701, ,0,1782.811458,143997.6444
745,Polygon,QN,2632,12,405,4053501,40535011009,535,1010,24,30,11378,E291,104,46,1600,4,5,1E,52-02 FLUSHING AVENUE,M1-1, , , , , , , , , ,N,E9,6,0, ,KAM & KAM REALTY LLC,43283,41300,41300,0,4400,0,0,0,36900,0,2,2,1,0,1,131.33,409.08,130,290,N,0,Y,5,0,341100,1995750,0,1931,0,0, , ,0.95,0,1,2.4,4,4026320012,0,535,1008038,199323,13b, ,403 034,41403, ,0, ,1, , ,24v1, ,40.71374,-73.914192, ,0,1026.982811,42098.0108
747,Polygon,QN,3375,1,405,4053901,40539011001,539,1002,24,34,11385,E291,104,46,1600,4,5,3E,47-02 METROPOLITAN AVENUE,M3-1,M1-1, , , , , , , , ,Y,E1,6,0, ,47-02 METROPOLITAN REALTY,13900,28570,28570,0,4000,270,0,24300,0,0,2,1,3,0,2,253,139,133,100,N,0,Y,5,0,106650,715050,0,1924,0,0, , ,2.06,0,2,0,4,4033750001,0,539,1006424,199266,13b, ,403 043,41801, ,0, ,1, , ,24v1, ,40.713588,-73.920014, ,0,599.622172,14193.67671
748,Polygon,QN,3375,15,405,4053901,40539011001,539,1002,24,34,11385,E291,104,46,1600,4,5,3E,47-40 METROPOLITAN AVENUE,M1-1, , , , , , , , , ,N,F9,6,0,X,ADD INDUSTRIES LLC,26273,55860,55860,0,4000,0,0,0,51860,0,2,1,2,0,0,136.4,165.71,136,245,N,0,Y,5,0,642600,2653200,2653200,1922,0,0, , ,2.13,0,1,2.4,4,4033750015,0,539,1006598,199201,13b, ,403 043,41801, ,4033750015,2/18/2009,1, , ,24v1, ,40.713409,-73.919387, ,0,692.648525,26253.29096
749,Polygon,QN,3375,23,405,4053901,40539011001,539,1002,24,34,11385,E291,104,46,1600,4,5,3E,63-63 WOODWARD AVENUE,M1-1, , , , , , , , , ,N,F5,6,0,X,AABCO SHEET METAL CO,85147,72606,72606,0,0,0,0,0,72606,0,2,2,1,0,3,231.92,245.6,231.92,245,N,1,Y,5,0,2082150,5521500,5521500,1922,0,0, , ,0.85,0,1,2.4,4,4033750023,0,539,1006803,199129,13b, ,403 043,41801, ,4033750015,2/18/2009,1, , ,24v1, ,40.713211,-73.918648, ,0,1194.161664,86187.18466
753,Polygon,QN,3376,1,405,4053901,40539011007,539,1001,24,34,11385,E291,104,46,1600,4,5,3E,19-06 FLUSHING AVENUE,M1-1, , , , , , , , , ,N,E9,6,0,X,1906 FLUSHING LLC,43793,49819,49819,0,0,0,0,0,49819,0,2,4,3,0,1,288.4,165.85,172,79,N,1,Y,3,0,1217250,2290950,2290950,2021,0,0, , ,1.14,0,1,2.4,4,4033760001,0,539,1007064,198814,13b, ,403 043,41801, ,4033760001,10/17/2019,1, , ,24v1, ,40.712346,-73.917707, ,0,870.372792,44765.53316
754,Polygon,QN,3376,24,405,4053901,40539011007,539,1001,24,34,11385,E291,104,46,1600,4,5,3E,19-62 FLUSHING AVENUE,M1-1, , , , , , , , , ,N,E9,6,0, ,BOHACK REALTY LLC,4948,8400,8400,0,0,3400,0,2500,2500,0,2,1,2,0,3,134.42,74.33,98.08,60,E,0,Y,3,0,37800,524700,0,1930,0,0, , ,1.7,0,1,2.4,4,4033760024,0,539,1007392,199066,13b, ,403 043,41801, ,0, ,1, , ,24v1, ,40.713037,-73.916523, ,0,336.767851,5069.959957
756,Polygon,QN,3377,6,405,4053901,40539011000,539,1000,24,34,11385,E291,104,46,1600,4,5,3E,19-30 TROUTMAN STREET,M1-1, , , , , , , , , ,N,F1,6,0, ,TBC REALTY CORP.,21400,23640,23640,0,0,0,0,0,23640,0,2,1,2,0,1,127,200,127,200,N,0,Y,5,0,523350,999900,0,1930,1968,0, , ,1.1,0,1,2.4,4,4033770006,0,539,1007413,198807,13b, ,403 043,41801, ,4033770006,11/14/1991,1, , ,24v1, ,40.712326,-73.916448, ,0,661.668278,20082.35507
