OBJECTID *,Shape *,ObjectID *,FACNAME,ADDRESSNUM,STREETNAME,ADDRESS,CITY,ZIPCODE,FACTYPE,FACSUBGRP,FACGROUP,FACDOMAIN,SERVAREA,OPNAME,OPABBREV,OPTYPE,OVERAGENCY,OVERABBREV,OVERLEVEL,CAPACITY,CAPTYPE,BORO,BIN,BBL *,LATITUDE,LONGITUDE,XCOORD,YCOORD,CD,NTA2010,NTA2020,COUNCIL,CT2010,CT2020,BOROCODE,SCHOOLDIST,POLICEPRCT,DATASOURCE,UID,F38,F39
1,Point,12,JAMAICA AUTO BODY AND TOWING INC.,<Null>,168 STREET,93-30 168 STREET,JAMAICA,11433,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Jamaica Auto Body And Towing Inc.,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4216254,4101560111,40.703779,-73.791643,1042020.186,195750.9347,412,QN61,QN1201,27,44400,44400,4,29,103,dca_operatingbusinesses,06f30a520b25380994c63c4c0d4fdd1c,<Null>,<Null>
5,Point,24,C & S TOWING INC,<Null>,37 AVENUE,57-02 37 AVENUE,WOODSIDE,11377,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,C & S Towing Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4027654,4012120001,40.750126,-73.905181,1010521.629,212581.9212,402,QN63,QN0203,26,25700,25700,4,30,108,dca_operatingbusinesses,0aae9dd30fc65fe8ec71966e40485f0a,<Null>,<Null>
9,Point,48,JFK LONG TERM PARKING INC.,<Null>,SOUTH CONDUIT AVENUE,122-02 SOUTH CONDUIT AVENUE,SOUTH OZONE PARK,11420,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Jfk Long Term Parking Inc.,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,<Null>,4142600001,40.647938,-73.789279,1042724.546,175407.9669,410,QN55,QN1001,28,84602,84602,4,27,106,dca_operatingbusinesses,11ef78cc4d41740497268596c7f2335b,<Null>,<Null>
11,Point,52,A&R COLLISION SPECIALISTS INC,<Null>,54 AVENUE,59-78 54 AVENUE,MASPETH,11378,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,A&R Collision Specialists Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4437521,4026560086,40.728687,-73.906492,1010166.925,204770.6622,402,QN99,QN0271,30,22900,22900,4,24,108,dca_operatingbusinesses,126e7359ac74ff0e8773d7030cf2c635,<Null>,<Null>
14,Point,62,JFK AIRPORT,150,COMMISSARY ROAD,150 COMMISSARY ROAD,JAMAICA,11430,OUTDOOR PARKING - AGENCY VEHICLES,CITY AGENCY PARKING,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",ADMINISTRATION OF GOVERNMENT,Local,NYC Department of Sanitation,NYCDSNY,Public,NYC Department of Sanitation,NYCDSNY,City,<Null>,<Null>,QUEENS,<Null>,4142600001,40.647938,-73.789277,1042725.02,175407.9983,483,QN98,QN8381,28,71600,71600,4,27,113,dcp_colp,14c7de287b0bac955a9f680694b9a21e,<Null>,<Null>
17,Point,68,LIC OPERATING 49 LLC,<Null>,30 PLACE,47-20 30 PLACE,LONG ISLAND CITY,11101,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Lic Operating 49 Llc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4436700,4002830001,40.741871,-73.93746,1001580.287,209566.2458,402,QN31,QN0202,26,19900,19902,4,24,108,dca_operatingbusinesses,16331375d10080d3b217534806c1248b,<Null>,<Null>
22,Point,89,V.M.A. IMPRESSIVE TOWING INC,<Null>,FLUSHING AVENUE,54-25 FLUSHING AVENUE,MASPETH,11378,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,V.M.A. Impressive Towing Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4059053,4026290041,40.715681,-73.912905,1008394.192,200030.5638,405,QN30,QN0501,30,53500,53501,4,24,104,dca_operatingbusinesses,1b24db8cab7ecf6f301891511a360cf3,<Null>,<Null>
23,Point,93,ACTION AUTO COLLISION & TOWING INC,<Null>,GRAND AVENUE,58-73 GRAND AVENUE,MASPETH,11378,TOW TRUCK COMPANY,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Action Auto Collision & Towing Inc,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4437547,4026800062,40.720377,-73.909305,1009390.179,201742.1874,405,QN30,QN0501,30,53100,53100,4,24,104,dca_operatingbusinesses,1cdb526954de5d6fb2bb60211c588162,<Null>,<Null>
26,Point,102,FDNY PARKING/FUTURE DEP MAINT,<Null>,49 STREET,57-15 49 STREET,MASPETH,11378,OUTDOOR PARKING,CITY AGENCY PARKING,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",ADMINISTRATION OF GOVERNMENT,Local,NYC Fire Department,FDNY,Public,NYC Fire Department,FDNY,City,<Null>,<Null>,QUEENS,<Null>,4025750026,40.724479,-73.918807,1006754.993,203234.2107,402,QN31,QN0501,30,21900,21900,4,24,108,dcp_colp,201672f7d6baa6b1e0a647f63e084093,<Null>,<Null>
28,Point,106,LAR WEN ASSOCIATES INC.,<Null>,BORDEN AVENUE,10-40 BORDEN AVENUE,LONG ISLAND CITY,11101,COMMERCIAL PARKING LOT,PARKING LOTS AND GARAGES,TRANSPORTATION,CORE INFRASTRUCTURE AND TRANSPORTATION,Local,Lar Wen Associates Inc.,Non-public,Non-public,NYC Department of Consumer Affairs,NYCDCA,City,<Null>,<Null>,QUEENS,4000207,4000370025,40.740781,-73.952727,997349.9469,209166.6803,402,QN31,QN0201,26,100,104,4,30,108,dca_operatingbusinesses,2065bf0a8c175eeb7b182db3676866ed,<Null>,<Null>
