OBJECTID *,Shape *,Borough,Block,Lot,CD,BCT2020,BCTCB2020,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,DCPEdited,Latitude,Longitude,Notes,Shape_Leng,Shape_Length,Shape_Area,OBJECTID,Join_Count,TARGET_FID,Name,Type,Type consolidated,Longitude,Latitude,Address,County,Zip Code,Description,OBJECTID,Join_Count,TARGET_FID,Borough,Block,Lot,CD,BCT2020,BCTCB2020,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,DCPEdited,Latitude,Longitude,Notes,Shape_Leng,Shape_Length,Shape_Area
1,Polygon,BX,2320,32,201,2005100,20051001016,51,1023,7,8,10451,E060,40,23,3800,2,1,1A,246 EAST 137 STREET,M1-4, , , , , , , , , ,N,O9,5,0, ,DRISH INC,7566,7566,6566,0,6566,0,0,0,0,0,2,2,1,0,1,50.53,125,50,125,N,0,Y,5,0,40500,268200,0,1931,0,0, , ,1,0,2,6.5,2,2023200032,0,51,1003928,234676,6a, ,209S002,20902, ,0, ,1,1,1,24v1, ,40.810785,-73.928914, ,0,454.506922,7550.527463,285,1,1,NYC Department of Sanitation,DOS,Fabricators,40.801187,-73.9168,125 E 149th St,Bronx,NY 10451,CDW,1,2,285,BX,2543,60,201,2001903,20019032010,19,4011,7,8,10454,L029,40,23,4700,2,1,2A,720 EAST 132 STREET,M3-1,M2-1, , , , , , , , ,Y,E9,6,0,P,780 E 132ND ST. CO.,240550,300000,108000,0,0,0,108000,0,0,0,2,1,2,0,2,1018,162,841,162,N,1,Y,5,0,990450,10149750,1457190,1956,2005,0, , ,1.25,0,2,0,2,2025430060,0,19,1007634,230909,6b, ,209S007,21001, ,0, ,1,1,1,24v1, ,40.800437,-73.915539, ,0,2386.348127,244228.9631
2,Polygon,BX,2320,33,201,2005100,20051001016,51,1023,7,8,10451,E060,40,23,3800,2,1,1A,242 EAST 137 STREET,M1-4, , , , , , , , , ,N,E9,6,0, ,"137TH STREET REALTY,",5000,15000,15000,0,0,5000,0,5000,5000,0,2,1,3,0,3,50,100,50,100,N,0,N,3,0,36000,521550,0,1931,0,0, , ,3,0,2,6.5,2,2023200033,0,51,1003914,234721,6a, ,209S002,20902, ,0, ,1,1,1,24v1, ,40.810909,-73.928965, ,0,304.606616,5191.635215,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
3,Polygon,BX,2320,37,201,2005100,20051001016,51,1023,7,8,10451,E060,40,23,3800,2,1,1A,248 EAST 137 STREET,M1-4, , , , , , , , , ,N,G2,7,0, ,BRONXWORLD REALTY LLC,6377,6377,6377,0,0,0,6377,0,0,0,2,1,1,0,1,67,100,67,100,N,0,Y,5,0,36000,329400,0,1931,0,0, , ,1,0,2,6.5,2,2023200037,0,51,1003990,234646,6a, ,209S002,20902, ,0, ,1, ,1,24v1, ,40.810703,-73.92869, ,0,331.326811,6493.565845,193,1,3,All City Recycling,Recycling and Garbage,Recycling and Garbage,40.799891,-73.9122,850 E 133rd St,Bronx,NY 10454,CDW,3,2,193,BX,2584,24,201,2001903,20019031015,19,3036,7,8,10454,L029,40,23,4700,2,1,2A,850 EAST 133 STREET,M3-1, , , , , , , , , ,N,F9,6,0, ,WILES FAMILY LIMITEDPARTNERSHIP,59500,1740,1740,0,870,0,0,0,870,0,2,1,1,0,1,275,212.96,45,12,N,0,Y,3,0,1085400,1633050,0,1990,0,0, , ,0.03,0,2,0,2,2025840024,0,19,1008543,230693,6b,Y,209S021,21002, ,0, ,1,1,1,24v1, ,40.799841,-73.912257, ,0,1000.69307,60375.298
4,Polygon,BX,2320,53,201,2005100,20051001016,51,1023,7,8,10451,E060,40,23,3800,2,1,1A,241 EAST 136 STREET,M1-4, , , , , , , , , ,N,G1,10,0, ,247 E 136TH ST CORP,24750,5000,5000,0,0,0,5000,0,0,0,2,1,1,0,1,150.25,151.67,50,100,N,0,Y,3,0,135000,323100,0,1961,0,0, , ,0.2,0,2,6.5,2,2023200053,0,51,1003851,234578,6a, ,209S002,20902, ,0, ,1,1,1,24v1, ,40.810516,-73.929192, ,0,667.922358,25051.60939,192,1,4,Action Carting,Recycling and Garbage,Recycling and Garbage,40.797924,-73.9113,920 E 132nd St,Bronx,NY 10454,CDW,4,1,192,BX,2583,50,201,2001903,20019032007,19,4006,7,8,10454,L029,40,23,4700,2,1,2A,920 EAST 132 STREET,M3-1, , , , , , , , , ,N,Z9, ,0, ,"ACTION ENVIRONMENTAL SYSTEMS, LLC",145500,157578,155778,0,20000,0,0,0,0,135778,2,2,3,0,1,180.58,604.42,103,418,N,0,Y,5,0,508950,3069000,0,1977,1990,1998, , ,1.08,0,2,0,2,2025830050,0,19,1008650,229901,6d,Y,209S008,21002, ,0, ,1,1,1,24v1, ,40.797667,-73.911873, ,0,2095.244422,145399.3753
5,Polygon,BX,2320,59,201,2005100,20051001017,51,1021,7,8,10451,E060,40,23,3800,2,1,1A,241 EAST 137 STREET,M1-4, , , , , , , , , ,N,E1,6,0, ,MOTT HAVEN HOLDINGS LLC,5841,5800,5800,0,0,0,0,5800,0,0,2,1,1,0,1,59,99,59,99,N,0,Y,3,0,29250,188100,0,1931,0,0, , ,0.99,0,2,6.5,2,2023200059,0,51,1004021,234825,6a, ,209S002,20902, ,0, ,1,1,1,24v1, ,40.811194,-73.928578, ,0,318.850741,5936.496523,191,1,5,BFI of New York,Recycling and Garbage,Recycling and Garbage,40.79832,-73.912,920 E 132nd St,Bronx,NY 10454,CDW,5,1,191,BX,2583,30,201,2001903,20019032007,19,4006,7,8,10454,L029,40,23,4700,2,1,2A,900 EAST 132 STREET,M3-1, , , , , , , , , ,N,F2,6,0,X,NYC INDUSTRIAL DEVELOPMENT AGENCY,350500,447145,447145,0,40000,0,0,5000,400625,1520,2,2,4,0,1,377,986,377.5,604.56,N,1,Y,5,2,7218900,57514950,57514950,1999,2004,0, , ,1.28,0,2,0,2,2025830030,0,19,1008388,230038,6b,Y,209S008,21002, ,0, ,1,1,1,24v1,t,40.798044,-73.912819, ,0,2610.348481,342200.9507
6,Polygon,BX,2320,66,201,2005100,20051001017,51,1021,7,8,10451,E060,40,23,3800,2,1,1A,250 EAST 138 STREET,M1-4/R7X, , , , , ,MX-13, , , ,N,G7,10,0, ,"MOTT HAVEN HOLDINGS, LLC",11500,0,0,0,0,0,0,0,0,0,7,1,1,0,1,150,75,23.08,46.25, ,0,Y,3,5,233550,315000,0,1931,1999,0, , ,0,5,2,5,2,2023200066,0,51,1004152,234891,6a, ,209S002,20902,E-227,0, ,1,1,1,24v1, ,40.811375,-73.928104, ,0,71.918973,314.421601,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
7,Polygon,BX,2320,72,201,2005100,20051001017,51,1021,7,8,10451,E060,40,23,3800,2,1,1A,256 EAST 138 STREET,M1-4/R7X,M1-4, , , , ,MX-13, , , ,Y,K4,4,0, ,138TH STREET REALTY,2391,7120,7120,0,0,4120,0,3000,0,0,2,1,3,0,1,27.17,88,27.17,88,N,0,N,5,0,23400,334350,0,1931,0,0, , ,2.98,5,2,5,2,2023200072,0,51,1004211,234825,6a, ,209S002,20902,E-227,0, ,1, , ,24v1, ,40.811194,-73.927891, ,0,89.723184,453.018672,253,1,7,RWA Resource Recovery,Recycling and Garbage,Recycling and Garbage,40.804042,-73.907,885 E 140th St,Bronx,NY 10454,CDW,7,1,253,BX,2598,62,201,2001902,20019021051,19,3008,7,8,10454,L029,40,23,4700,2,1,2A,302 WALNUT AVENUE,M3-1, , , , , , , , , ,N,E9,6,0, ,WALNUT REALTY ASSOCIATES,20000,20000,20000,0,0,0,0,20000,0,0,2,1,1,0,2,100,200,100,200,N,0,N,3,0,104400,1081350,0,1954,0,0, , ,1,0,2,0,2,2025980062,0,19,1010085,232211,6d, ,209S038,21002, ,0, ,1,1,1,24v1, ,40.804004,-73.906682, ,0,597.274264,19764.00682
8,Polygon,BX,2320,73,201,2005100,20051001017,51,1021,7,8,10451,E060,40,23,3800,2,1,1A,258 EAST 138 STREET,M1-4/R7X,M1-4, , , , ,MX-13, , , ,Y,O5,5,0, ,"ADFIA REALTY, LLC",1051,3310,3310,0,1710,800,0,800,0,0,2,1,3,0,2,18.58,88.42,18,50,N,0,Y,5,0,8100,154350,0,1931,0,0, , ,3.15,5,2,5,2,2023200073,0,51,1004231,234814,6a, ,209S002,20902,E-227,0, ,1, , ,24v1, ,40.811163,-73.927819, ,0,48.290932,132.900427,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
9,Polygon,BX,2320,88,201,2005100,20051001017,51,1021,7,8,10451,E060,40,23,3800,2,1,1A,245 EAST 137 STREET,M1-4, , , , , , , , , ,N,F5,6,0, ,245 E137 OWNERSHIP LLC,5187,5185,5185,0,0,0,0,0,5185,0,2,1,1,0,1,52.08,90.58,52.08,90.58,N,0,Y,5,0,27900,357300,0,1961,0,0, , ,1,0,2,6.5,2,2023200088,0,51,1004061,234781,6a, ,209S002,20902, ,0, ,1,1,1,24v1, ,40.811073,-73.928433, ,0,304.238657,5498.587855,45,1,9,Waste Management,Recycling and Garbage,Recycling and Garbage,40.803898,-73.9268,108 Willis Avenue Brg,Bronx,NY 10454,CDW,9,1,45,BX,2260,62,201,2001903,20019032013,19,4008,7,8,10454,E060,40,23,4700,2,1,1A,EAST 132 STREET,M3-1, , , , , , , , , ,N,Z7, ,5, ,CON EDISON,2015836,0,0,0,0,0,0,0,0,0,7,6,0,0,0,1920,1930,0,0,N,0,Y,5,0,16200,16200,0,0,0,0, , ,0,0,2,0,2,2022600062,0,19,1004745,232145,6b,Y,209S016,20901, ,0, ,1,1,1,24v1, ,40.803837,-73.925971, ,0,8964.400609,1943626.674
10,Polygon,BX,2320,164,201,2005100,20051001017,51,1021,7,8,10451,E060,40,23,3800,2,1,1A,234 RIDER AVENUE,M1-4, , , , , , , , , ,N,E1,6,0, ,MOTT HAVEN HOLDINGS LLC,6837,6537,6537,0,0,0,0,0,6537,0,2,1,1,0,1,51,128.17,51,128.17,N,0,Y,5,0,36000,217800,0,1931,0,0, , ,0.96,0,2,6.5,2,2023200164,0,51,1004098,234852,6a, ,209S002,20902, ,0, ,1,1,1,24v1, ,40.811268,-73.928299, ,0,378.143881,7202.658195,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
