OBJECTID *,Shape *,Borough,Block,Lot,CD,BCT2020,BCTCB2020,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,DCPEdited,Latitude,Longitude,Notes,Shape_Leng,Shape_Length,Shape_Area,OBJECTID,Join_Count,TARGET_FID,uid,BOROUGH,BLOCK,LOT,BBL,MAPBBL,CD,HNUM,SNAME,ADDRESS,PARCELNAME,AGENCY,USECODE,USETYPE,OWNERSHIP,CATEGORY,EXPANDCAT,EXCATDESC,LEASED,FINALCOM,AGREEMENT,XCOORD,YCOORD,LATITUDE,LONGITUDE,DCPEDITED,Shape_Length,Shape_Area
1,Polygon,SI,1306,14,501,5032300,50323000001,323,1, ,49,0, ,0,0,0, , , , RICHMOND TERRACE,M2-1,M3-1,M1-1, , , , , , , ,Y,V7,11,2,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,621165,0,0,0,0,0,0,0,0,0,7,0,0,0,0,320,1600,0,0, ,0,Y,5,0,2828700,2828700,2828700,0,0,0, , ,0,0,2,0,5,5013060014,0,323,934911,173705,20c,Y,502 269,50603, ,0, ,1,1,1,24v1,t,40.643319,-74.177788, ,0,3651.965832,396362.3466,1,0,1,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3651.965832,396362.3466
2,Polygon,SI,1309,1,501,5032300,50323001000,323,1000,31,49,10303,E158,121,51,100,5,1,4C,3599 RICHMOND TERRACE,M3-1, , , , , , , , , ,N,V1,11,0, ,CMA CGM SA,6188,0,0,0,0,0,0,0,0,0,7,1,0,0,0,34,182,0,0, ,0,N,5,5,77400,77400,0,0,0,0, , ,0,0,2,0,5,5013090001,0,323,934735,172939,20c, ,502 269,50603, ,0, ,1,1,1,24v1, ,40.641216,-74.178416, ,0,438.733111,6755.839016,2,0,2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,438.733111,6755.839016
3,Polygon,SI,1309,10,501,5032300,50323001000,323,1000,31,49,10303,E158,121,51,100,5,1,4C,3625 RICHMOND TERRACE,M3-1, , , , , , , , , ,N,V1,11,3,X,PORT AUTHORITY OF NY AND NJ,1698840,0,0,0,0,0,0,0,0,0,7,0,0,0,0,39,2800,0,0, ,0,Y,5,0,3643200,3643200,3643200,0,0,0, , ,0,0,2,0,5,5013090010,0,323,934003,173761,20a,Y,502 269,50603, ,0, ,1,1,1,24v1, ,40.643468,-74.18106, ,0,5761.533193,1692686.129,3,0,3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,5761.533193,1692686.129
4,Polygon,SI,1394,20,501,5032300,50323001012,323,1007,31,49,10303,E158,121,51,100,5,1,4C, MC KINLEY AVENUE,M2-1, , , , , , , , , ,N,U6,7,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,22794,0,0,0,0,0,0,0,0,0,7,0,0,0,0,172,102,0,0,N,0,N,5,0,0,0,0,0,0,0, , ,0,0,2,0,5,5013940020,0,323,933496,168666,20a, ,502 273,50603, ,0, ,1,1,1,24v1,t,40.62948,-74.182849, ,0,648.149365,22794.41663,4,2,4,4d67e209b4429ceafadc53a1aa5af7d0,5,1394,20,5013940020,5013940020,501, ,MC KINLEY AVENUE,MC KINLEY AVENUE, ,EDC,1500,NO USE,C,3,8,PROPERTY WITH NO USE, ,D, ,933496,168666,40.629481,-74.182849, ,648.149365,22794.41663
5,Polygon,SI,1394,35,501,5032300,50323001015,323,1012,31,49,10303,E158,121,51,100,5,1,4C, MC KINLEY AVENUE,M2-1, , , , , , , , , ,N,U6,7,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERIVCES,16536,0,0,0,0,0,0,0,0,0,7,0,0,0,0,151,210,0,0,N,0,N,5,0,0,0,0,0,0,0, , ,0,0,2,0,5,5013940035,0,323,933456,168557,20a, ,502 273,50603, ,0, ,1, ,1,24v1,t,40.629181,-74.182992, ,0,537.392269,16536.35746,5,2,5,225bfe12025d97720d1fe2a5cbd32086,5,1394,35,5013940035,5013940035,501, ,MC KINLEY AVENUE,MC KINLEY AVENUE, ,EDC,1500,NO USE,C,3,8,PROPERTY WITH NO USE, ,D, ,933456,168557,40.629181,-74.182992, ,537.392269,16536.35746
6,Polygon,SI,1394,82,501,5032300,50323001012,323,1007,31,49,10303,E158,121,51,100,5,1,4C, GOETHALS ROAD NORTH,M2-1, , , , , , , , , ,N,U2,7,0,X,BROOKLYN UNION GAS COMPANY,5057,0,0,0,0,0,0,0,0,0,7,0,0,0,0,50,100,0,0,N,0,N,5,0,0,0,0,0,0,0, , ,0,0,2,0,5,5013940082,0,323,932859,168940,20a, ,502 273,50603, ,0, ,1, ,1,24v1,t,40.630229,-74.185146, ,0,301.378846,5057.082349,6,0,6,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,301.378846,5057.082349
7,Polygon,SI,1396,1,501,5032300,50323001012,323,1007,31,49,10303,E158,121,51,100,5,1,4C, MC KINLEY AVENUE,M2-1, , , , , , , , , ,N,U6,7,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,9576,0,0,0,0,0,0,0,0,0,7,0,0,0,0,100,113,0,0,N,0,N,3,0,0,0,0,0,0,0, , ,0,0,2,0,5,5013960001,0,323,933608,168754,20a, ,502 273,50603, ,0, ,1,1,1,24v1,t,40.629722,-74.182446, ,0,419.186759,9575.822516,7,2,7,70bf4158450d33988154be9f86e345dc,5,1396,1,5013960001,5013960001,501, ,MC KINLEY AVENUE,MC KINLEY AVENUE, ,EDC,1500,NO USE,C,3,8,PROPERTY WITH NO USE, ,D, ,933608,168754,40.629723,-74.182446, ,419.186759,9575.822516
8,Polygon,SI,1396,11,501,5032300,50323001013,323,1007,31,49,10303,E158,121,51,100,5,1,4C, MC KINLEY AVENUE,M2-1, , , , , , , , , ,N,U6,7,0,C,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,3861,0,0,0,0,0,0,0,0,0,7,0,0,0,0,87,105,0,0,N,0,N,5,0,0,0,0,0,0,0, , ,0,0,2,0,5,5013960011,0,323,933749,168818,20a, ,502 273,50603, ,0, ,1, ,1,24v1,t,40.629899,-74.181938, ,0,288.654151,3860.861407,8,2,8,02571a0d6917d8621bff2857b708dbce,5,1396,11,5013960011,5013960011,501, ,MC KINLEY AVENUE,MC KINLEY AVENUE,STAEN ISLAND RAILWAY,DSBS,852,RAIL LINE,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE", , , ,933749,168818,40.629899,-74.181938, ,288.654151,3860.861407
9,Polygon,SI,1410,5,501,5032300,50323001011,323,1003,31,49,10303,E158,121,51,100,5,1,4C, WESTERN AVENUE,M3-1, , , , , , , , , ,N,V7,11,0,X,PORT AUTHORITY OF NY AND NJ,8760,0,0,0,0,0,0,0,0,0,7,0,0,0,0,80,219,0,0, ,0,Y,5,5,97650,97650,97650,0,0,0, , ,0,0,2,0,5,5014100005,0,323,932415,168996,20a, ,502 273,50603, ,0, ,1,1,1,24v1,t,40.63038,-74.186746, ,0,539.165269,10729.47143,9,0,9,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,539.165269,10729.47143
10,Polygon,SI,1732,45,502,5029102,50291021019,291.02,1019,31,50,10314,E158,121,51,100,5,2,4E, GULF AVENUE,M2-1, , , , , , , , , ,N,V9,11,1,C,NYC DEPARTMENT OF TRANSPORTATION,4316,0,0,0,0,0,0,0,0,0,7,0,0,0,0,90,123,0,0, ,0,Y,5,0,65250,65250,65250,0,0,0, , ,0,0,2,0,5,5017320045,0,29102,934499,163939,20b, ,502 268,50801, ,0, ,1,1,1,24v1,t,40.616511,-74.1792, ,0,512.738077,14489.28627,10,1,10,bca98d22b4e968d1b7e714407c382bd2,5,1732,45,5017320045,5017320045,502, ,GULF AVENUE,GULF AVENUE,WEST SHORE EXPWAY SLOPE ESMNT,DOT,880,ROAD/HIGHWAY,C,1,7,"MAINTENANCE, STORAGE, & INFRASTRUCTURE USE", , , ,934499,163939,40.616512,-74.1792, ,512.738077,14489.28627
